"","dispersal","sig_niche","alpha","n_sp","rep"
"1",1e-05,0.1,"0.5",5,1
"2",1e-05,0.1,"1.5",3,1
"3",1e-05,0.1,"equal",2,1
"4",1e-05,0.215443469003188,"0.5",27,1
"5",1e-05,0.215443469003188,"1.5",22,1
"6",1e-05,0.215443469003188,"equal",21,1
"7",1e-05,0.215443469003188,"patch_dynamics",7,1
"8",1e-05,0.464158883361278,"0.5",43,1
"9",1e-05,0.464158883361278,"1.5",42,1
"10",1e-05,0.464158883361278,"equal",37,1
"11",1e-05,0.464158883361278,"patch_dynamics",10,1
"12",1e-05,1,"0.5",48,1
"13",1e-05,1,"1.5",45,1
"14",1e-05,1,"equal",42,1
"15",1e-05,1,"patch_dynamics",5,1
"16",1e-05,2.15443469003188,"0.5",49,1
"17",1e-05,2.15443469003188,"1.5",46,1
"18",1e-05,2.15443469003188,"equal",43,1
"19",1e-05,2.15443469003188,"patch_dynamics",6,1
"20",1e-05,4.64158883361278,"0.5",49,1
"21",1e-05,4.64158883361278,"1.5",43,1
"22",1e-05,4.64158883361278,"equal",42,1
"23",1e-05,4.64158883361278,"patch_dynamics",2,1
"24",1e-05,10,"0.5",48,1
"25",1e-05,10,"1.5",44,1
"26",1e-05,10,"equal",40,1
"27",1e-05,10,"patch_dynamics",3,1
"28",2.15443469003188e-05,0.1,"0.5",4,1
"29",2.15443469003188e-05,0.1,"1.5",3,1
"30",2.15443469003188e-05,0.1,"equal",2,1
"31",2.15443469003188e-05,0.215443469003188,"0.5",29,1
"32",2.15443469003188e-05,0.215443469003188,"1.5",23,1
"33",2.15443469003188e-05,0.215443469003188,"equal",20,1
"34",2.15443469003188e-05,0.215443469003188,"patch_dynamics",5,1
"35",2.15443469003188e-05,0.464158883361278,"0.5",41,1
"36",2.15443469003188e-05,0.464158883361278,"1.5",45,1
"37",2.15443469003188e-05,0.464158883361278,"equal",38,1
"38",2.15443469003188e-05,0.464158883361278,"patch_dynamics",14,1
"39",2.15443469003188e-05,1,"0.5",48,1
"40",2.15443469003188e-05,1,"1.5",43,1
"41",2.15443469003188e-05,1,"equal",39,1
"42",2.15443469003188e-05,1,"patch_dynamics",4,1
"43",2.15443469003188e-05,2.15443469003188,"0.5",47,1
"44",2.15443469003188e-05,2.15443469003188,"1.5",46,1
"45",2.15443469003188e-05,2.15443469003188,"equal",43,1
"46",2.15443469003188e-05,2.15443469003188,"patch_dynamics",3,1
"47",2.15443469003188e-05,4.64158883361278,"0.5",45,1
"48",2.15443469003188e-05,4.64158883361278,"1.5",46,1
"49",2.15443469003188e-05,4.64158883361278,"equal",40,1
"50",2.15443469003188e-05,4.64158883361278,"patch_dynamics",2,1
"51",2.15443469003188e-05,10,"0.5",48,1
"52",2.15443469003188e-05,10,"1.5",44,1
"53",2.15443469003188e-05,10,"equal",43,1
"54",2.15443469003188e-05,10,"patch_dynamics",4,1
"55",4.64158883361278e-05,0.1,"0.5",8,1
"56",4.64158883361278e-05,0.1,"1.5",7,1
"57",4.64158883361278e-05,0.1,"equal",4,1
"58",4.64158883361278e-05,0.1,"patch_dynamics",1,1
"59",4.64158883361278e-05,0.215443469003188,"0.5",28,1
"60",4.64158883361278e-05,0.215443469003188,"1.5",22,1
"61",4.64158883361278e-05,0.215443469003188,"equal",19,1
"62",4.64158883361278e-05,0.215443469003188,"patch_dynamics",10,1
"63",4.64158883361278e-05,0.464158883361278,"0.5",40,1
"64",4.64158883361278e-05,0.464158883361278,"1.5",38,1
"65",4.64158883361278e-05,0.464158883361278,"equal",35,1
"66",4.64158883361278e-05,0.464158883361278,"patch_dynamics",9,1
"67",4.64158883361278e-05,1,"0.5",47,1
"68",4.64158883361278e-05,1,"1.5",42,1
"69",4.64158883361278e-05,1,"equal",41,1
"70",4.64158883361278e-05,1,"patch_dynamics",6,1
"71",4.64158883361278e-05,2.15443469003188,"0.5",48,1
"72",4.64158883361278e-05,2.15443469003188,"1.5",43,1
"73",4.64158883361278e-05,2.15443469003188,"equal",40,1
"74",4.64158883361278e-05,2.15443469003188,"patch_dynamics",3,1
"75",4.64158883361278e-05,4.64158883361278,"0.5",47,1
"76",4.64158883361278e-05,4.64158883361278,"1.5",44,1
"77",4.64158883361278e-05,4.64158883361278,"equal",43,1
"78",4.64158883361278e-05,4.64158883361278,"patch_dynamics",4,1
"79",4.64158883361278e-05,10,"0.5",49,1
"80",4.64158883361278e-05,10,"1.5",45,1
"81",4.64158883361278e-05,10,"equal",44,1
"82",4.64158883361278e-05,10,"patch_dynamics",4,1
"83",9.99999999999999e-05,0.1,"0.5",9,1
"84",9.99999999999999e-05,0.1,"1.5",6,1
"85",9.99999999999999e-05,0.1,"equal",4,1
"86",9.99999999999999e-05,0.1,"patch_dynamics",2,1
"87",9.99999999999999e-05,0.215443469003188,"0.5",29,1
"88",9.99999999999999e-05,0.215443469003188,"1.5",21,1
"89",9.99999999999999e-05,0.215443469003188,"equal",20,1
"90",9.99999999999999e-05,0.215443469003188,"patch_dynamics",11,1
"91",9.99999999999999e-05,0.464158883361278,"0.5",36,1
"92",9.99999999999999e-05,0.464158883361278,"1.5",34,1
"93",9.99999999999999e-05,0.464158883361278,"equal",29,1
"94",9.99999999999999e-05,0.464158883361278,"patch_dynamics",14,1
"95",9.99999999999999e-05,1,"0.5",46,1
"96",9.99999999999999e-05,1,"1.5",41,1
"97",9.99999999999999e-05,1,"equal",39,1
"98",9.99999999999999e-05,1,"patch_dynamics",4,1
"99",9.99999999999999e-05,2.15443469003188,"0.5",46,1
"100",9.99999999999999e-05,2.15443469003188,"1.5",42,1
"101",9.99999999999999e-05,2.15443469003188,"equal",42,1
"102",9.99999999999999e-05,2.15443469003188,"patch_dynamics",8,1
"103",9.99999999999999e-05,4.64158883361278,"0.5",45,1
"104",9.99999999999999e-05,4.64158883361278,"1.5",44,1
"105",9.99999999999999e-05,4.64158883361278,"equal",37,1
"106",9.99999999999999e-05,4.64158883361278,"patch_dynamics",6,1
"107",9.99999999999999e-05,10,"0.5",45,1
"108",9.99999999999999e-05,10,"1.5",37,1
"109",9.99999999999999e-05,10,"equal",42,1
"110",9.99999999999999e-05,10,"patch_dynamics",5,1
"111",0.000215443469003188,0.0464158883361278,"0.5",3,1
"112",0.000215443469003188,0.0464158883361278,"1.5",2,1
"113",0.000215443469003188,0.1,"0.5",15,1
"114",0.000215443469003188,0.1,"1.5",7,1
"115",0.000215443469003188,0.1,"equal",7,1
"116",0.000215443469003188,0.1,"patch_dynamics",2,1
"117",0.000215443469003188,0.215443469003188,"0.5",27,1
"118",0.000215443469003188,0.215443469003188,"1.5",16,1
"119",0.000215443469003188,0.215443469003188,"equal",18,1
"120",0.000215443469003188,0.215443469003188,"patch_dynamics",11,1
"121",0.000215443469003188,0.464158883361278,"0.5",33,1
"122",0.000215443469003188,0.464158883361278,"1.5",27,1
"123",0.000215443469003188,0.464158883361278,"equal",27,1
"124",0.000215443469003188,0.464158883361278,"patch_dynamics",13,1
"125",0.000215443469003188,1,"0.5",43,1
"126",0.000215443469003188,1,"1.5",40,1
"127",0.000215443469003188,1,"equal",37,1
"128",0.000215443469003188,1,"patch_dynamics",7,1
"129",0.000215443469003188,2.15443469003188,"0.5",42,1
"130",0.000215443469003188,2.15443469003188,"1.5",37,1
"131",0.000215443469003188,2.15443469003188,"equal",43,1
"132",0.000215443469003188,2.15443469003188,"patch_dynamics",6,1
"133",0.000215443469003188,4.64158883361278,"0.5",44,1
"134",0.000215443469003188,4.64158883361278,"1.5",31,1
"135",0.000215443469003188,4.64158883361278,"equal",43,1
"136",0.000215443469003188,4.64158883361278,"patch_dynamics",3,1
