"","x","y"
"1",54,12
"2",87,97
"3",73,69
"4",99,78
"5",94,97
"6",18,19
"7",90,52
"8",73,81
"9",81,10
"10",82,55
"11",12,19
"12",77,19
"13",26,11
"14",74,65
"15",58,37
"16",24,6
"17",92,26
"18",42,58
"19",2,95
"20",21,73
"21",37,51
"22",22,48
"23",40,21
"24",74,82
"25",9,9
"26",85,91
"27",4,72
"28",56,82
"29",65,72
"30",74,4
"31",12,72
"32",4,63
"33",82,68
"34",49,49
"35",87,66
"36",32,96
"37",57,87
"38",17,22
"39",20,41
"40",78,95
"41",72,88
"42",63,52
"43",82,97
"44",59,100
"45",44,14
"46",88,75
"47",68,30
"48",28,91
"49",95,15
"50",86,46
"51",84,8
"52",74,17
"53",66,31
"54",17,42
"55",30,9
"56",20,13
"57",33,9
"58",24,77
"59",74,15
"60",60,77
"61",94,89
"62",72,28
"63",53,27
"64",11,16
"65",45,10
"66",63,16
"67",69,39
"68",45,39
"69",54,67
"70",51,64
"71",98,24
"72",58,87
"73",81,98
"74",43,95
"75",15,99
"76",51,30
"77",68,97
"78",47,62
"79",7,7
"80",34,89
"81",42,8
"82",5,23
"83",27,43
"84",79,41
"85",99,15
"86",73,48
"87",2,45
"88",29,68
"89",89,55
"90",60,88
"91",86,99
"92",86,86
"93",13,17
"94",71,41
"95",37,79
"96",83,4
"97",51,8
"98",31,30
"99",77,4
"100",23,18
